id,group_concat(Wdkon_Zones.name),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Z0407,Z0408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Z0411,Z0412,Z0413,Z0414,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Z1892,Z1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Z1662,Z1668,Z1674,Z1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Z1666,Z1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Z0429,Z0430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Z0664,Z0931,Z0932,Z0935,Z0937,Z0939,Z0940,Z0941,Z0943,Z0945,Z0946,Z0978,Z0981,Z0988,Z0994,Z1826,Z1827,Z1828,Z1829,Z1830,Z1833,Z1834,Z1835,Z1836,,,,,,,,
372,Z0653,Z0654,Z0655,Z0656,Z0657,Z0658,Z0659,Z0660,Z0661,Z0662,Z0947,Z0950,Z0954,Z1831,Z1832,,,,,,,,,,,,,,,,,
376,Z1126,Z1779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Z1094,Z1777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Z0912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Z0741,Z0768,Z0791,Z0792,Z0811,Z0812,Z0813,Z0821,Z0822,Z0823,,,,,,,,,,,,,,,,,,,,,,
380,Z0079,Z0639,Z0640,Z0641,Z0649,Z1637,Z1641,,,,,,,,,,,,,,,,,,,,,,,,,
381,Z1116,Z1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Z0837,Z0838,Z0840,Z0841,Z0847,Z0853,Z0871,Z0877,Z0883,Z1385,Z1386,Z1388,Z1875,,,,,,,,,,,,,,,,,,,
383,Z0578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Z0848,Z0856,Z0858,Z0860,Z1879,Z1881,Z1882,Z1883,,,,,,,,,,,,,,,,,,,,,,,,
385,Z0879,Z0881,Z0884,Z0885,Z0886,Z0890,Z1874,Z1887,Z1888,Z1889,Z1890,,,,,,,,,,,,,,,,,,,,,
386,Z0588,Z1292,Z1296,Z1298,Z1929,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Z0343,Z0836,Z0843,Z0844,Z0845,Z0851,Z0857,Z1885,,,,,,,,,,,,,,,,,,,,,,,,
390,Z1265,Z1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Z0099,Z0101,Z1679,Z1806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Z0491,Z1796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Z0492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
