InputID,MEAN,STDDEV,MIN,MAX
Z0083,1577.00109,665.18315,26.17382,3178.03219
Z0084,1566.31517,664.18892,24.78612,3164.01978
Z0085,1593.23618,665.19058,11.73782,3192.69935
Z0086,1512.27332,624.53606,59.15523,2844.21380
Z0087,1290.11671,593.60542,31.21933,2763.19094
Z0088,1241.85687,582.73539,69.59731,2715.21486
Z0089,1319.69411,586.10016,74.14913,2600.69462
Z0090,1283.01155,584.51852,25.02198,2558.74514
Z0091,1117.76939,527.01184,91.73156,2454.27339
Z0092,996.91823,457.18611,51.67378,2208.23490
Z0093,969.11975,436.40927,38.70605,2141.99535
Z0094,1024.47273,474.81453,46.27040,2278.24145
Z0095,1042.42708,486.54433,46.95315,2313.84927
Z0096,1019.64315,471.45105,59.27117,2267.18461
Z0097,1046.00570,487.72492,58.07836,2319.92912
Z0098,955.33284,425.74108,24.46989,2110.46268
Z0099,963.79349,432.58771,55.98138,2108.10031
Z0100,948.43013,420.17336,55.98138,2076.34863
Z0101,949.56906,421.34423,41.59856,2049.76995
Z0102,1103.15217,518.95316,38.97195,2425.80937
Z0103,1171.84625,552.05062,92.11677,2542.34553
Z0104,1057.92852,496.52307,46.95315,2341.81110
Z0105,1000.45397,460.35794,50.44305,2203.35887
Z0106,1019.84467,473.32993,23.21974,2258.47956
Z0107,1029.26248,479.81220,23.21974,2276.47019
Z0108,1035.36129,483.28498,32.62507,2293.40281
Z0109,1051.99994,494.08714,39.76238,2323.68420
Z0110,1030.08077,480.91962,44.00167,2269.82174
Z0111,1015.90808,471.68561,50.44305,2227.54450
Z0112,971.16430,438.73385,59.16398,2098.03852
Z0113,995.07683,456.93199,47.66343,2149.19182
Z0114,1011.43420,468.58593,30.89447,2191.79131
Z0115,1025.33825,478.39454,26.99837,2229.14610
Z0116,1032.33719,483.01202,23.61395,2234.81296
Z0117,1042.99138,489.90487,29.56808,2280.22398
Z0118,1082.91823,512.15705,45.61205,2381.21598
Z0119,1267.46030,581.91702,28.37199,2538.66963
Z0120,1291.85964,594.11461,49.92361,2575.16021
Z0121,1205.51718,547.68981,50.27595,2434.53468
Z0122,1172.81720,539.64470,51.70813,2390.11530
Z0123,1089.31239,476.71593,55.27376,2199.99696
Z0124,1163.57242,537.36626,26.22642,2601.04215
Z0125,1238.56721,559.75328,50.27595,2484.38796
Z0126,1269.83996,562.64450,8.86261,2519.56624
Z0127,1256.84467,530.66098,37.39963,2434.64477
Z0128,1329.30574,583.21055,46.92727,2441.12086
Z0129,1363.43988,591.14005,12.67325,2478.48428
Z0130,1372.90204,593.15989,12.67325,2491.15078
Z0131,1403.56668,598.08129,64.50616,2702.12069
Z0132,1334.02650,597.83069,62.46260,2627.25558
Z0133,1267.23210,578.73670,24.27553,2535.89577
Z0134,1217.67913,577.10764,47.49788,2464.03138
Z0135,1150.36098,545.15854,5.44572,2323.62145
