InputID,MEAN,STDDEV,MIN,MAX
Z1548,125.55991,42.90502,43.16593,220.22118
Z1549,96.86478,34.99456,14.54183,159.68444
Z1550,107.65582,42.93143,25.90921,177.79936
Z1551,106.43780,37.80247,30.88012,175.69475
Z1552,135.42686,43.88840,15.63959,213.22279
Z1553,135.25940,41.44702,15.63959,211.83233
Z1554,136.30705,53.70166,29.86427,242.95737
Z1555,130.93907,49.28802,32.20856,216.22130
Z1556,135.27537,43.20737,32.22513,222.82583
Z1557,134.54609,46.88384,32.20856,219.50180
Z1558,134.63992,58.19192,21.96908,257.48691
Z1559,180.56112,63.05580,32.05767,293.60089
Z1560,133.15779,68.78693,29.98876,273.09138
Z1561,181.60788,60.41974,51.30117,284.62821
Z1562,159.06051,57.18226,40.63205,260.76434
Z1563,153.22785,63.28030,42.84312,276.60287
Z1564,156.67231,56.08336,50.54350,265.27296
Z1565,164.51103,60.76671,46.97539,296.24730
Z1566,121.05075,40.38487,37.04293,208.25940
Z1567,121.22585,36.90230,37.04293,196.95249
Z1568,138.16541,54.59693,28.54985,226.86373
Z1569,180.62397,57.59080,21.33315,277.61791
Z1570,175.61876,52.49501,21.33315,268.47112
Z1571,157.82193,51.86011,11.35034,248.23903
Z1572,172.01005,58.76785,31.70299,280.41489
Z1573,159.99788,52.46111,11.35034,250.29882
Z1574,106.21520,44.73376,23.90730,186.22971
Z1575,164.28711,58.49321,33.65480,281.08084
Z1576,201.88190,97.12315,5.46547,445.23939
Z1577,178.33371,70.11170,20.59527,302.00367
Z1578,227.23318,110.68799,40.29469,480.12539
Z1579,222.82645,99.18362,28.09411,460.28720
Z1580,168.79481,58.68615,15.60178,274.86653
Z1581,233.65646,98.13589,28.09411,448.22076
Z1582,152.82128,66.42872,27.66830,278.61779
Z1583,157.11966,65.96016,5.46752,276.39637
Z1584,151.39847,63.09130,27.66830,269.27396
Z1585,148.20971,51.85555,19.93276,239.52678
Z1586,175.48410,56.36238,58.46518,288.98354
Z1587,150.72054,58.46055,18.91306,257.31828
Z1588,146.32973,72.74285,6.80394,280.79573
Z1589,135.99976,43.10924,14.01059,223.58250
Z1590,154.78573,52.60794,35.34737,234.00587
Z1591,145.10034,50.39636,15.02820,241.71298
Z1592,126.59147,58.66228,16.94918,222.90091
Z1593,126.53993,56.15316,16.94918,227.72164
Z1594,134.45194,53.45230,8.82203,229.34427
Z1595,130.96123,60.93196,16.85199,231.16523
Z1596,131.15962,65.42403,17.04504,241.47093
Z1597,191.54238,85.79644,23.41899,347.30920
Z1598,195.28134,86.37986,23.41899,340.46878
Z1599,155.71012,68.27071,19.09481,281.77687
Z1600,132.16315,65.79694,25.46467,255.12886
Z1601,196.40232,90.40894,29.00993,372.48039
Z1602,196.62915,84.88856,26.02288,377.48339
Z1603,216.47646,78.74072,58.80337,356.30278
Z1604,138.55827,72.19117,21.23367,271.28358
Z1605,164.27519,48.63159,63.22078,258.29021
Z1606,171.00024,55.94759,51.30117,281.88365
Z1607,180.83815,59.12423,49.69072,300.15638
Z1608,136.37977,56.31726,31.33327,237.65905
Z1609,129.71213,54.31948,21.38604,233.71707
Z1610,142.47950,51.07562,14.25461,229.76562
Z1611,170.99720,69.71724,46.22054,297.67333
Z1612,188.39471,66.59356,52.03142,291.03482
Z1613,211.99757,53.48927,55.27376,309.83219
Z1614,182.12480,75.22025,20.59527,314.50589
Z1615,146.73203,50.24164,29.13011,244.09796
Z1616,133.89292,61.00927,17.71175,233.25881
Z1617,133.81164,68.14276,16.16733,254.98788
Z1618,133.89920,62.21496,19.53216,245.99983
Z1619,136.24832,70.26619,15.68249,257.72732
Z1620,133.36742,59.51515,25.68177,249.57885
Z1621,207.95990,96.97299,32.08981,388.91272
Z1622,149.41933,55.54535,42.42273,247.67615
Z1623,176.93676,62.33847,40.10627,281.30624
Z1624,175.22058,61.93350,37.83242,282.89202
Z1625,177.08916,61.85743,38.76209,274.93834
Z1626,176.21725,63.50553,43.65393,295.97572
Z1627,264.31147,80.85534,97.27455,394.78826
Z1628,364.43808,147.44636,39.90583,610.77765
Z1629,246.24962,118.21035,27.00109,482.89393
Z1630,235.04167,99.40014,42.28520,452.03653
Z1631,302.39482,148.69690,33.38498,548.05851
Z1632,303.88657,149.40839,33.38498,564.96189
Z1634,138.77208,69.47375,6.25526,271.37946
Z1635,137.02899,69.46357,5.23002,265.58007
Z1636,136.05591,69.62297,5.23002,270.47956
Z1637,126.16970,50.38942,13.64376,224.90201
Z1638,153.90141,66.39915,19.12475,271.08729
Z1639,146.32900,60.71962,22.72423,245.24481
Z1640,139.73778,41.61805,48.86880,219.73168
Z1641,126.77594,43.72798,48.35727,211.10370
Z1642,182.24982,56.50355,45.58125,291.55297
Z1643,198.76154,56.02038,45.28551,303.39519
Z1644,188.07393,54.75977,45.28551,283.32473
Z1645,139.95748,50.97425,43.42159,242.24618
Z1646,121.18364,46.58585,29.67159,202.31189
Z1647,139.46419,61.17247,14.90058,247.54738
Z1648,127.03690,49.99677,41.03160,208.49386
Z1649,183.06054,68.55951,34.62284,306.52227
Z1650,203.35159,67.75738,5.56840,332.38998
Z1651,144.87139,70.35364,22.85773,279.17976
Z1652,143.64665,71.18247,19.12782,272.16424
Z1653,103.23425,48.51257,12.09187,191.28053
Z1654,96.61262,42.51102,19.21690,180.29270
Z1655,180.65695,60.61920,59.52855,291.46175
Z1656,122.90698,47.64426,18.22794,196.53199
Z1657,149.53845,63.91002,33.08805,259.91504
Z1658,136.75905,46.13124,33.03963,243.64846
Z1659,133.57813,50.31868,33.11254,236.69617
Z1660,135.00800,52.33825,32.79314,218.67516
Z1661,135.06864,45.58651,32.96112,222.91931
Z1662,186.25756,82.68242,33.63600,338.96395
Z1663,134.82929,43.46912,32.96112,226.53149
Z1664,143.44360,58.08957,33.06832,252.55968
Z1665,141.46018,55.60638,33.81267,268.95745
Z1666,152.10565,55.45563,32.65857,261.80924
Z1667,174.03893,79.20129,33.98714,338.52913
Z1668,184.26771,83.77299,33.57779,348.28173
Z1669,132.78304,48.63120,33.11254,218.36313
Z1670,167.00016,76.75625,31.48686,329.65235
Z1671,138.43161,53.32001,33.06832,250.60215
Z1672,165.39036,78.42189,32.18612,329.53166
Z1673,139.37416,58.34643,32.79314,241.86478
Z1674,188.77221,79.22536,33.98714,349.05259
Z1675,148.59201,66.59440,32.18612,269.32010
Z1676,155.92430,70.99034,34.09536,284.83944
Z1677,175.18188,66.66601,34.29648,294.10025
Z1678,136.24821,51.92889,33.20068,237.02365
Z1679,151.32420,50.24879,12.85870,239.04219
Z1680,169.18397,55.47173,64.45856,279.53191
