,Plot_ID,Buildings_in_Community,Types_Community,Area_Community,Community_PV_Size,Bldg_share_in_community,Community_Meters,Bldg_share_in_meters_community,Num_EGIDs,Num_Occupants,Demand_Year_MWh,Community_PV_Subsidy
Z0472_Z0475_Z1539,174,"['Z0472', 'Z0475', 'Z1539']","['Residential', 'Commercial', 'Residential']",649.6657796866999,106,"[0.3113207547169811, 0.5849056603773585, 0.10377358490566038]",31,"[0.45161290322580644, 0.03225806451612903, 0.5161290322580645]",3,111,191.111,33200
Z0472_Z1399_Z1402,174,"['Z0472', 'Z1399', 'Z1402']","['Residential', 'Residential', 'Residential']",640.6868563899001,105,"[0.3142857142857143, 0.34285714285714286, 0.34285714285714286]",42,"[0.3333333333333333, 0.35714285714285715, 0.30952380952380953]",3,91,189.632,32900
Z0472_Z1399_Z1539,174,"['Z0472', 'Z1399', 'Z1539']","['Residential', 'Residential', 'Residential']",490.80803996160006,80,"[0.4125, 0.45, 0.1375]",45,"[0.3111111111111111, 0.3333333333333333, 0.35555555555555557]",3,97,160.95999999999998,28800
Z0472_Z1402_Z1539,174,"['Z0472', 'Z1402', 'Z1539']","['Residential', 'Residential', 'Residential']",494.5399121934,80,"[0.4125, 0.45, 0.1375]",43,"[0.32558139534883723, 0.3023255813953488, 0.37209302325581395]",3,92,150.54500000000002,28800
Z0472_Z0475,174,"['Z0472', 'Z0475']","['Residential', 'Commercial']",578.1377259394,95,"[0.3473684210526316, 0.6526315789473685]",15,"[0.9333333333333333, 0.06666666666666667]",2,77,161.834,33900
Z0472_Z1399,174,"['Z0472', 'Z1399']","['Residential', 'Residential']",419.27998621430004,69,"[0.4782608695652174, 0.5217391304347826]",29,"[0.4827586206896552, 0.5172413793103449]",2,63,131.683,25060
Z0472_Z1402,174,"['Z0472', 'Z1402']","['Residential', 'Residential']",423.0118584461,69,"[0.4782608695652174, 0.5217391304347826]",27,"[0.5185185185185185, 0.48148148148148145]",2,58,121.268,25060
Z0472_Z1539,174,"['Z0472', 'Z1539']","['Residential', 'Residential']",273.1330420178,44,"[0.75, 0.25]",30,"[0.4666666666666667, 0.5333333333333333]",2,64,92.596,16560
Z0475_Z1399_Z1402,174,"['Z0475', 'Z1399', 'Z1402']","['Commercial', 'Residential', 'Residential']",815.6146057883,134,"[0.4626865671641791, 0.26865671641791045, 0.26865671641791045]",29,"[0.034482758620689655, 0.5172413793103449, 0.4482758620689655]",3,108,224.82800000000003,41600
Z0475_Z1399,174,"['Z0475', 'Z1399']","['Commercial', 'Residential']",594.2077356126999,98,"[0.6326530612244898, 0.3673469387755102]",16,"[0.0625, 0.9375]",2,80,166.87900000000002,34920
Z0475_Z1402,174,"['Z0475', 'Z1402']","['Commercial', 'Residential']",597.9396078445,98,"[0.6326530612244898, 0.3673469387755102]",14,"[0.07142857142857142, 0.9285714285714286]",2,75,156.464,34920
Z0477_Z0480,19,"['Z0477', 'Z0480']","['Residential', 'Residential']",488.63368681350005,81,"[0.4691358024691358, 0.5308641975308642]",45,"[0.35555555555555557, 0.6444444444444445]",3,96,90.432,29140
Z0483_Z1739,12,"['Z0483', 'Z1739']","['Residential', 'Residential']",325.25086748,53,"[0.8113207547169812, 0.18867924528301888]",17,"[0.8235294117647058, 0.17647058823529413]",6,27,73.909,19620
Z0484_Z1400,19,"['Z0484', 'Z1400']","['Residential', 'Residential']",361.49623982670005,59,"[0.4576271186440678, 0.5423728813559322]",23,"[0.391304347826087, 0.6086956521739131]",3,46,96.174,21660
Z0485_Z0561_Z0562,19,"['Z0485', 'Z0561', 'Z0562']","['Residential', 'Residential', 'Residential']",516.007395836,84,"[0.38095238095238093, 0.38095238095238093, 0.23809523809523808]",28,"[0.32142857142857145, 0.39285714285714285, 0.2857142857142857]",3,60,124.75500000000001,30160
Z0485_Z0561,19,"['Z0485', 'Z0561']","['Residential', 'Residential']",390.63034348170004,64,"[0.5, 0.5]",20,"[0.45, 0.55]",2,44,91.936,23360
Z0485_Z0562,19,"['Z0485', 'Z0562']","['Residential', 'Residential']",322.1456458998,52,"[0.6153846153846154, 0.38461538461538464]",17,"[0.5294117647058824, 0.47058823529411764]",2,36,74.019,19280
Z0486_Z0562_Z1400,19,"['Z0486', 'Z0562', 'Z1400']","['Residential', 'Residential', 'Residential']",513.7722839377,84,"[0.38095238095238093, 0.23809523809523808, 0.38095238095238093]",33,"[0.3333333333333333, 0.24242424242424243, 0.42424242424242425]",3,69,144.70800000000003,30160
Z0486_Z0562,19,"['Z0486', 'Z0562']","['Residential', 'Residential']",318.0389694407,52,"[0.6153846153846154, 0.38461538461538464]",19,"[0.5789473684210527, 0.42105263157894735]",2,40,83.24600000000001,19280
Z0486_Z1400,19,"['Z0486', 'Z1400']","['Residential', 'Residential']",388.3952315834,64,"[0.5, 0.5]",25,"[0.44, 0.56]",2,53,111.88900000000001,23360
Z0488_Z0501,214,"['Z0488', 'Z0501']","['Residential', 'Residential']",527.9545668912,87,"[0.735632183908046, 0.26436781609195403]",29,"[0.6896551724137931, 0.3103448275862069]",6,52,118.10499999999999,31180
Z0494_Z0496,249,"['Z0494', 'Z0496']","['Residential', 'Residential']",330.53831061489996,54,"[0.6296296296296297, 0.37037037037037035]",35,"[0.8, 0.2]",2,77,113.07000000000001,19960
Z0497_Z0498_Z1795,394,"['Z0497', 'Z0498', 'Z1795']","['Residential', 'Residential', 'Residential']",357.05438941110003,58,"[0.41379310344827586, 0.3448275862068966, 0.2413793103448276]",19,"[0.42105263157894735, 0.3684210526315789, 0.21052631578947367]",6,34,83.515,21320
Z0497_Z0498,394,"['Z0497', 'Z0498']","['Residential', 'Residential']",271.2173406127,44,"[0.5454545454545454, 0.45454545454545453]",15,"[0.5333333333333333, 0.4666666666666667]",4,28,71.047,16560
Z0497_Z1795,394,"['Z0497', 'Z1795']","['Residential', 'Residential']",233.3700742368,38,"[0.631578947368421, 0.3684210526315789]",12,"[0.6666666666666666, 0.3333333333333333]",4,21,51.123000000000005,14520
Z0498_Z0497_Z0505_Z1794_Z1795,394,"['Z0498', 'Z0497', 'Z0505', 'Z1794', 'Z1795']","['Residential', 'Residential', 'Commercial', 'Public', 'Residential']",620.0624228132001,101,"[0.19801980198019803, 0.2376237623762376, 0.26732673267326734, 0.15841584158415842, 0.13861386138613863]",23,"[0.30434782608695654, 0.34782608695652173, 0.08695652173913043, 0.08695652173913043, 0.17391304347826086]",10,63,137.94,31700
Z0498_Z0497_Z0505_Z1794,394,"['Z0498', 'Z0497', 'Z0505', 'Z1794']","['Residential', 'Residential', 'Commercial', 'Public']",534.2253740148001,87,"[0.22988505747126436, 0.27586206896551724, 0.3103448275862069, 0.1839080459770115]",19,"[0.3684210526315789, 0.42105263157894735, 0.10526315789473684, 0.10526315789473684]",8,57,125.47200000000001,31180
Z0498_Z0497_Z0505_Z1795,394,"['Z0498', 'Z0497', 'Z0505', 'Z1795']","['Residential', 'Residential', 'Commercial', 'Residential']",523.0233891928,85,"[0.23529411764705882, 0.2823529411764706, 0.3176470588235294, 0.16470588235294117]",21,"[0.3333333333333333, 0.38095238095238093, 0.09523809523809523, 0.19047619047619047]",8,55,126.96900000000001,30500
Z0498_Z0497_Z1794_Z1795,394,"['Z0498', 'Z0497', 'Z1794', 'Z1795']","['Residential', 'Residential', 'Public', 'Residential']",454.09342303150004,74,"[0.2702702702702703, 0.32432432432432434, 0.21621621621621623, 0.1891891891891892]",21,"[0.3333333333333333, 0.38095238095238093, 0.09523809523809523, 0.19047619047619047]",8,42,94.486,26760
